2-b,score
Fa2h,3419.03111078156
Lmo2,98.8345305498927
Slc4a8,42.1276141282956
RP23-342N8.2,7.19377798809429
Asprv1,7.13395303808968
Krt83,5.8237322423714
Rnaset2a,5.24164775306422
Calhm2,4.99658314025707
Whrn,4.53686127991225
Syk,4.32260948899717
Bach2,4.29317311970091
Myh14,4.2623645205068
Bag2,4.24904874939993
Dclk3,3.96624616415584
Ptp4a1,3.85589850304808
Bscl2,3.82066376205914
Rnaset2b,3.61930828216993
Gpr153,3.36777298138365
Ptch2,3.1848632384492
Ptn,3.10402524738414
Cybrd1,3.03814048999157
Wnt5a,2.89116488865944
Sp6,2.79359953628327
St14,2.79198289048922
RP24-230J14.3,2.64070341012678
Gm16136,2.63705200339573
Dock8,2.53602510796846
Tecr,2.42212734506256
Slc16a10,2.41283255919088
Tiam2,2.31329480521835
Bcl11a,2.24680605999747
