2-c,score
Krt39,24.35354904
Abcg4,17.6842411861426
Dlx5,13.65178688
Gm53,13.4123048343757
Fam110c,11.1874481433371
Hoxb9,10.7274716858301
Npy,7.61632626181282
4732456N10Rik,7.32111158373356
Fabp4,6.31664345070013
Cpne4,6.24799996765387
Krtap15,6.00627528902447
Tgm1,5.85705404576298
Mdfi,5.56097290689369
Hist1h2aj,5.34022578652756
Aldh1a1,4.96498264501545
Lix1,4.78467925424921
Plod2,4.44050012319078
Col23a1,4.43557576414444
Crem,4.41024012417615
Prdm1,4.29131395547381
Ift57,4.19618723955939
Ftx,4.11160224030217
Jakmip2,4.05431300952894
Bmper,4.04654859600817
Dpysl3,4.00303052147294
Mboat2,3.97567641798912
St8sia6,3.95064899894401
Slco5a1,3.87705771138036
Cpped1,3.78236780112356
Hs3st3b1,3.77116565602512
Aldh1a3,3.72146547054052
Vldlr,3.69672125392324
Foxq1,3.68838288415546
Alox8,3.68527331033767
Bmp2,3.68380682398932
Susd1,3.65021430237771
Ap3b2,3.64985096833856
Ptpru,3.56207493912048
Prr5l,3.54741959522836
Hist2h4,3.52207578243209
Mfsd8,3.51910463057816
Pde5a,3.49778399309403
Rdh10,3.49077180149057
Tubb6,3.46771308836684
Hist1h2ab,3.4613630184653
Arhgef3,3.35139915668412
Parvb,3.34147551403271
Tgm3,3.3232593000389
Syne3,3.29777904822495
Slc35f2,3.29766396327115
