2-d,score
Pde3a,884.878594256041
Pglyrp2,662.289674590487
Krt16,431.95704501871
Gabrp,420.491292797682
Gbp10,306.934984530771
Anks1b,105.643922255575
Gbp6,105.278505187901
5330417C22Rik,51.1259272062282
Pik3cd,50.2322032167789
Nod2,50.2075852009348
Stc1,44.4101989265179
Gbp6,42.6961218755092
Cd74,40.9418611382812
Frem1,38.697288418219
Shh,37.8858311706421
C1s1,34.6144946098797
Ifitm1,34.2567864885544
Tnfaip2,26.3706174809273
Nfkbie,25.6145633974013
Krt26,24.311295202141
Scube1,23.721472102014
Tlr2,20.6186292035396
Il4i1,20.0068868539592
Kremen2,19.6999030499595
Tnf,17.8910055114736
Irf1,17.1491787726069
Dock3,16.7175931794022
Hecw2,16.1747016492636
Rgs9,16.1480917265405
Pcsk2,15.9973890041171
Lrp4,15.963925044749
Gm38211,15.8986229204122
Edar,15.5295496541974
Lrrn1,15.3064472212322
Dnm3,15.2875866939702
Gxylt2,14.4691135953179
Wnt11,14.107341593026
Wnt10b,13.7617701854742
6430571L13Rik,13.2302208912822
Gdpd5,13.18044468996
Igfbp5,12.5805701901527
Robo2,12.4234832463076
Chil1,12.3565254308659
Irx4,12.3066499491948
Cgnl1,12.1684694199867
Dnah1,11.9683448050599
Gm12840,11.4638094924005
Cdo1,11.0156323266825
Wif1,10.6008110427671
RP23-148L8.3,10.5593406270389
Sema6c,10.4479973832861
Sema3b,10.4114337208524
Gm26809,10.1762068969285
Rab11fip4,9.99046636155864
Adamts15,9.92158003408831
Npnt,9.84520020702345
Relb,9.5070915765081
Ifitm3,9.43578897136586
Gramd4,9.42605002192503
Gprin3,9.25743629728699
Tmem229a,9.22761087889943
Egr2,8.70684421293361
Nfkb2,8.47446727307865
Scn4b,8.04240474533374
Pakap,8.03627457046723
Akap2,7.95554699441368
Cdh6,7.77355820473762
Slc4a4,7.48281741274956
Faim2,7.47180323251883
St3gal3,7.3851559749275
Tbc1d24,7.30103416614085
Sel1l3,7.29347329099353
Grasp,7.01307555807253
Enpp5,6.87505049919386
Kit,6.80763174959137
Ado,6.72024205542937
Aim2,6.56030976594671
Tgif2,6.45518383379052
Relt,6.32331647606525
Egflam,6.31162168110024
Alcam,6.30181168886337
Icam1,6.20955440528321
Ckmt1,6.02308686689213
Tenm4,6.01162557181601
P2rx7,5.90427025076743
Erap1,5.36165416365402
Gm37183,5.26880223601698
Fas,5.24610408550084
Arg2,5.1695809904114
Wnt6,5.14514522117475
Hivep3,5.13759930266264
Rnf180,5.05557393234461
Igf2,5.05526850084909
Csrnp1,5.02745174891327
Slc45a4,4.98510008135664
Rnf213,4.88550441350208
Plekhh1,4.84750165877376
Jak2,4.75516837242035
Srgap2,4.72170391065742
Mras,4.67068097032888
