cluster 0 gene,cluster 0 score,cluster 1 gene,cluster 1 score,cluster 2 gene,cluster 2 score,cluster 3 gene,cluster 3 score,cluster 4 gene,cluster 4 score,cluster 5 gene,cluster 5 score
Tmem27,31.237425,Gng12,32.9169,Rbp4,13.092899,Dbi,44.244938,Btg2,37.353245,Ghrl,19.439194
Pcsk1n,25.760036,Sec61b,32.668594,Hhex,12.95194,Spp1,44.02889,Pax4,31.534664,Isl1,18.132582
Cpe,25.663088,Pcsk2,30.991524,Pyy,12.495207,Bicc1,43.82009,Btbd17,30.389357,Maged2,16.341791
Ttr,25.474482,Iapp,30.511675,Arg1,11.701905,Anxa2,43.77696,Smarcd2,29.398382,Fam183b,14.200593
Meis2,25.422846,Pdx1,30.193504,Sst,11.548004,Mt1,43.512394,Actg1,28.863918,Arg1,14.194039
Slc38a5,25.26679,Nnat,29.017027,Hadh,11.137431,1700011H14Rik,43.132416,Ypel3,28.690626,Bsg,14.117344
Gnas,24.805014,1700086L19Rik,28.237232,Isl1,9.925004,Krt18,41.847782,Marcks,28.044613,Rbp4,13.95778
Tspan7,24.232517,Immp1l,27.756624,Fam183b,9.610965,Gsta3,41.15469,Krt7,27.913576,Anpep,13.853499
Pyy,24.036812,Rbp4,27.730616,Cd200,9.462206,Adamts1,40.856636,Cd63,26.937254,Lrpprc,13.237341
Peg10,22.640038,Gnas,27.284048,Dlk1,9.4179535,Ldha,40.664406,Cck,26.540367,Mboat4,13.1231165
Rnf130,22.595148,Ociad2,26.987402,Iapp,9.375724,Wfdc2,40.628727,Rcor2,25.690247,Bex2,13.064556
Smarca1,22.064415,Scgn,26.70746,Meis2,9.25689,Clu,40.337986,Eif3f,25.547464,Arx,12.85569
Abcc8,21.912706,Hadh,26.26891,Klhdc8b,8.956831,Cyr61,39.870262,Eif3e,25.499233,Tmx1,12.381151
Tmsb15l,21.846102,Rap1b,26.187437,Meg3,8.820608,Rps8,39.743927,Map1b,25.236677,Itm2b,12.260068
Irx2,21.54877,Ppp1r1a,26.170097,Gch1,8.394898,Vim,39.54186,Hpcal1,25.232548,Cdkn1a,11.87476
Arx,20.966497,Scg3,26.081013,Pcsk2,8.253419,Rpl13,39.347057,Tox3,25.005322,Glud1,11.844661
Gcg,20.902195,Dlk1,25.497046,Auts2,8.201541,Nudt19,39.322445,Rph3al,24.72996,Emb,11.784729
Pcsk2,20.657017,Pcsk1n,25.069511,Hmgn3,7.9281144,Atp1b1,39.222404,Cox7a2l,24.706903,Aplp1,11.741714
Pam,20.356844,Papss2,24.97846,1700086L19Rik,7.8707485,Sox9,39.09501,H3f3a,24.338823,Irx2,11.67561
Sphkap,20.182526,Pyy,24.279842,Frzb,7.6357384,Rps2,38.903168,Foxa3,23.922752,Tmed10,11.628251
Iapp,19.967009,Chga,24.278511,1500009L16Rik,7.5318675,Rplp1,38.84976,Dbn1,23.87775,Cck,11.556661
Rbp4,19.690878,Tspan7,24.197504,Malat1,7.341514,Sparc,38.713867,BC023829,23.854374,Cd200,11.5045395
Fam183b,19.627563,Chgb,23.998993,Abcc8,7.2377586,Rpl12,38.61537,Mdk,23.77944,Npdc1,11.364254
Aplp1,19.407955,Abcc8,23.975267,Fxyd3,7.2198496,Rps19,38.366924,Vasp,23.626295,Pam,10.950371
Isl1,18.84258,Anxa4,23.505125,Kctd8,7.1111836,Csrp2,38.339302,Cotl1,23.616833,Tusc3,10.640463
Scg3,18.562431,Hspa5,23.324417,Ppp1r14c,6.9394326,Rpl32,36.79645,Rpl37a,23.145912,Ngfrap1,10.568453
Dusp10,18.418667,Fam183b,23.32279,Tmem27,6.8863993,Rps16,36.708908,Cpt2,23.024996,Scgn,10.551575
Etv1,18.378878,Cryba2,23.310505,Pam,6.5649652,Rps4x,36.581078,Zfos1,22.53881,Gch1,10.436931
Scgn,18.244232,Atp5g1,23.236792,Ghr,6.38969,Rps27a,36.529972,Gdpd1,22.534826,Gde1,10.423824
Trim35,18.203901,Pak3,23.069998,Spcs2,6.375536,Rpl3,36.21144,Tmem59,22.307665,Alcam,10.394982
1700086L19Rik,17.872353,Cpe,22.870789,Zbtb20,6.270394,Rps12,36.14701,Tubb3,22.166842,Tmem59,10.307427
Ank,17.54971,Syt13,22.661177,Igfbp5,6.2602262,Lurap1l,35.98577,Cdkn1a,22.078478,Fam174a,10.272413
Rap1b,16.831404,Ins2,22.604,Igfbp7,6.0745525,Rpl21,35.973576,Ddx5,21.780478,Ffar4,10.226084
Hap1,16.762896,Minos1,22.186,Fos,6.025101,Rplp0,35.862312,Selm,21.152187,Klhdc8b,9.967877
Pcbd1,16.598848,Slc38a5,21.658323,Pld3,6.0237145,Rpl22l1,35.781887,Igfbpl1,21.079084,Peg3,9.937322
Nenf,16.487,Meg3,21.35804,Pcsk1n,5.890785,Rpl10a,35.72346,Cbfa2t3,20.993177,Atp6v0b,9.828202
Glud1,16.452545,Prps1,21.2587,Gnao1,5.785412,S100a10,35.40833,Ppp3ca,20.96662,Hspa5,9.813648
Ctsz,16.44359,1500009L16Rik,21.182428,Scgn,5.7449727,Mif,35.372433,Tmsb4x,20.929731,Rgs17,9.727732
Ssr4,16.245958,Ank,21.069027,Akr1c19,5.6730485,Rps20,34.807827,Ppp1r14a,20.850668,Ctsl,9.598343
Maged1,16.193007,Pcsk1,21.065432,Ffar4,5.620651,Rpl17,34.77896,Ppp1r14b,20.596596,Ssr4,9.482784
Spint2,16.144403,Isl1,20.614067,Eif4a2,5.5008354,Eno1,34.69088,Grasp,20.428959,Cxxc4,9.47086
Pax6,16.054766,Cope,20.573996,Pak3,5.470159,Rps11,34.673267,Tecr,20.175512,Slc38a5,9.420643
Pim2,15.915161,Smdt1,20.510645,Ppy,5.409327,Gapdh,34.651314,Gspt1,20.130156,Rbpms,9.349738
Sct,15.904161,Meis2,20.395107,Tspan12,5.39939,Rpl36a,34.60877,Eif4a1,20.100674,Ghr,9.307599
Dock11,15.844277,Ostc,20.201925,Sec61b,5.3599334,Rpl23,34.46817,Hn1,19.954037,Fxyd3,9.141749
Emc10,15.779928,Uqcc2,20.177755,Scg5,5.3592978,Rps15,33.879913,Sult2b1,19.865976,Zdbf2,9.110659
Zbtb20,15.631815,Pdia6,19.987154,Necab2,5.305976,H19,33.81856,Glrx3,19.795944,Slc25a4,9.07614
Lrpprc,15.357942,Acly,19.75149,Tmed10,5.303607,Rps17,33.784344,Cdk4,19.760164,Trp53i13,9.020819
Tusc3,15.273991,Pim2,19.717066,Aplp1,5.153924,Rpsa,33.765182,Hspa8,19.67249,Itfg1,8.962525
Uqcc2,15.017649,Gch1,19.658493,Ssbp4,5.1123295,Rps24,33.69132,Spint1,19.643635,Txndc12,8.918633
Slc16a10,15.011562,Selk,19.568943,Runx1t1,5.084542,Ptn,33.602882,Npc2,19.632935,Sfxn2,8.903812
Peg3,14.948623,Tmem163,19.488993,Tspan5,5.0305843,Cldn10,33.437202,Cdk2ap1,19.594793,Sin3b,8.899393
Wnk3,14.935015,Cox6a1,19.452053,Fkbp2,4.950226,Habp2,33.31914,Ppib,19.538383,Emc7,8.815153
Scg5,14.862674,Sytl4,19.286379,Sez6l,4.676048,Rps18,33.036682,Ubald2,19.39761,Tspan13,8.758955
Hmgn3,14.807161,Fkbp2,19.238085,Zdbf2,4.629832,Rpl23a,33.03308,Rps9,19.336622,Lamp1,8.683173
Slc25a4,14.636533,Gabarap,19.116901,Slc16a10,4.6187973,Myl12a,33.004147,Psmd4,19.331497,Cd47,8.621794
Trappc2l,14.405575,Dad1,19.116499,Selk,4.5535746,Rps23,32.744278,Psmc2,19.275715,Tmem27,8.583084
Ush1c,14.3180275,Ero1lb,18.875507,Scn3a,4.552477,Hhex,32.605778,Mob4,19.033096,Saraf,8.520143
Chgb,14.141454,Ndufv3,18.807102,Plcb4,4.5496464,Hes1,32.481766,Ctsf,18.678045,Cd63,8.428473
Auts2,13.966102,Ece1,18.791773,Rab3b,4.546527,Rpl8,32.27347,Cct5,18.506569,Spint2,8.387858
Fam174a,13.925443,Trappc2l,18.608316,Rap1b,4.5096693,Dcdc2a,31.984802,Rap1gap2,18.494326,Pcbd1,8.2451725
Zdbf2,13.899637,Scg5,18.118044,Chp1,4.496613,Rpl35,31.944597,Kdm1a,18.342981,Gm43194,8.151712
Ngfrap1,13.8986025,Pax6,17.895638,Emb,4.485579,Rps7,31.909338,Naca,18.308615,Akr1c19,8.0662155
Itm2b,13.89576,Nkx6-1,17.865696,Spock3,4.4769135,Rps15a,31.8621,Gdap1l1,18.166653,Hepacam2,8.010323
Eif4a2,13.771619,Hmgn3,17.81628,Cplx2,4.476682,Rpl11,31.793499,Btf3,18.11426,Akr1c12,7.965135
Bex2,13.641533,Ndufb11,17.646801,Gng12,4.472292,Rps5,31.528751,Prdx2,18.098675,Zwint,7.951686
Ocrl,13.619817,Tshz1,17.492928,Hspa5,4.470501,Nfib,31.358477,Tpst2,18.096249,Fhl2,7.9231486
Cnot6l,13.568769,Rpn2,17.3074,Ufc1,4.4665728,Npm1,31.302122,Gse1,18.076214,Abcc8,7.78774
Mbnl2,13.523457,Mnx1,17.151283,Lrpap1,4.4555383,Rpl7,31.228811,Trp53i11,17.97633,Pyy,7.7791295
Ncam1,13.470764,Tmem27,17.140543,Kcnmb2,4.4419045,Id2,31.16016,Nkx6-1,17.91372,Sep15,7.7255607
Rai2,13.407025,Usmg5,17.126522,Akr1c12,4.373909,Rbp1,31.112602,Cdc14b,17.860733,Ctsz,7.637892
Cd200,13.355532,Ssr4,17.046362,Pitpnc1,4.309668,Rpl28,30.758814,Cxxc5,17.826029,Fkbp2,7.6244807
Sesn2,13.231956,Fxyd6,17.023863,Pja2,4.294648,Rpl41,30.655005,Rps14,17.795921,Ctsf,7.5843987
Cst3,12.769991,Slc35b1,16.882212,PISD,4.292626,Rpl18a,30.576511,2010107G23Rik,17.789028,Tm4sf4,7.5621867
Dnajc12,12.691798,Atp6v1e1,16.74113,Sez6l2,4.28812,Col18a1,30.228207,Syt13,17.680885,Cpe,7.5549855
2210013O21Rik,12.675206,Entpd3,16.70495,Vimp,4.234278,Rpl7a,30.157082,Rnf114,17.659357,Calr,7.55369
Zwint,12.582089,Srp14,16.701822,Gnas,4.217698,Rpl6,30.055157,Stard10,17.584118,Arl3,7.535821
