cluster 0 gene,cluster 0 score,cluster 1 gene,cluster 1 score,cluster 2 gene,cluster 2 score,cluster 3 gene,cluster 3 score,cluster 4 gene,cluster 4 score,cluster 5 gene,cluster 5 score,cluster 6 gene,cluster 6 score,cluster 7 gene,cluster 7 score,cluster 8 gene,cluster 8 score,cluster 9 gene,cluster 9 score,cluster 10 gene,cluster 10 score,cluster 11 gene,cluster 11 score
Sfn,128.20602,Ccnd2,115.37218,Aebp1,93.52012,Col3a1,132.22589,Fn1,89.79163,Rps21,101.11101,Dusp9,102.15608,Sox11,84.9217,Nhp2,79.41602,Dppa5a,99.552,Lgals1,36.37609,Lama1,21.100988
Cldn6,123.12095,Actg2,93.30063,Mgp,91.53319,Col1a1,130.52278,Aebp1,88.55161,Rps27,100.4474,Krt8,101.07737,Mdk,82.70928,Ran,79.37134,Chchd10,92.43154,S100a11,30.891092,Srgn,21.080065
Cldn4,122.34263,Rpl18a,89.52625,Cdkn1a,86.89591,Col1a2,129.08617,Timp1,86.84311,Rps28,100.334854,Sin3b,100.41079,Gm1673,80.94617,Rps5,78.6925,Slc25a5,92.03229,S100a6,29.008343,Col4a1,20.98823
Krt18,121.80211,S100a6,87.67424,Cd81,86.67319,Timp2,122.978584,Thbs1,85.51543,Rps29,98.95615,Krt18,99.467384,Marcksl1,79.76399,Eif5a,78.48824,Rhox5,91.761086,Acta2,28.78233,Col4a2,20.973646
Spint2,118.9096,Vim,87.26609,Ifitm3,86.670815,Mmp2,122.38414,Fbln2,83.18367,Rps8,96.38924,Peg10,98.27293,H2afv,75.436264,Dctpp1,76.332756,Eif2s2,91.19594,Tagln,27.937136,Lamc1,20.873844
Pdlim1,117.472115,Rps9,86.71665,Phlda3,83.30592,Sparc,119.514496,Msn,82.350716,Rplp1,96.14405,Krt7,96.693184,Hmgb3,73.55107,Rplp0,76.03378,Nanog,89.10591,Tpm2,27.906883,Lamb1,20.730558
Krt8,116.314514,Rps5,85.20839,Cdkn2a,82.85316,Col5a2,118.095665,Cald1,82.02159,Rpl37,95.04473,Nrk,95.17406,H3f3a,72.45223,Serbp1,75.21574,Hsp90aa1,89.00014,Myl6,26.657549,Plod2,20.384882
Krt7,113.983475,Rps14,84.005104,Gabarap,79.16605,Fstl1,116.71991,Tnfrsf12a,80.70966,Rps12,94.482925,Cdkn1c,94.85609,Tubb2b,71.86681,Nop10,73.819305,Ube2a,88.585724,Myl9,26.270601,Hs3st1,20.271837
Mdk,112.06925,Ccnd1,83.65243,Thbs1,76.237175,Col6a1,113.73423,Tagln,80.3096,Rpl36,94.28321,Krt19,93.50825,Nnat,70.615074,Rps9,73.305855,Cox7b,88.285675,Fkbp1a,26.139746,Txndc12,19.986866
Krt19,108.37864,Aldh3a1,80.65967,Itm2b,75.37323,Selm,113.72283,Lgals1,80.047676,Rps26,93.016624,Sct,91.86492,Cdk4,69.24004,Rpl8,73.23555,Trap1a,88.20225,Pfn1,25.183817,Sparc,19.483406
Tacstd2,106.653366,Ly6a,79.00472,Tmem176b,74.94646,Lox,110.78499,Tspo,79.93551,Rpl22l1,92.92308,Lgals3,91.14486,Map1b,68.64709,Pmm1,73.092125,Utf1,87.309265,Timp1,24.937593,Aqp8,18.987143
H19,104.46486,Rpl10a,78.4436,Fn1,73.39929,Thbs2,109.934456,Pmepa1,79.39325,Rpl37a,90.70437,Rhox6,90.16868,Ttc3,68.251495,Npm1,72.92801,Tdgf1,86.5862,Tspo,24.833735,P4ha1,18.736662
Cdh1,103.61859,Mgst1,77.32226,Nupr1,72.60022,B2m,108.40973,Lmna,79.3683,Rplp2,89.52299,1600025M17Rik,88.51726,Cd24a,67.65148,Eef1g,72.46078,Mylpf,86.55517,Actg2,24.417213,Pdpn,18.178133
Igf2,103.54997,Cd109,76.87337,Cyp1b1,71.96659,Mgp,107.6345,Timp3,78.03547,Rps17,88.41329,Hspb1,87.01126,Tubb5,66.27581,Lyar,72.410286,Mkrn1,86.2716,Vim,24.378534,Gpx3,17.780703
Bcam,103.548134,Gstm1,75.24072,Gas6,71.87102,Aebp1,105.802826,Vim,77.61778,Eef1b2,87.619194,H19,86.49663,Mest,63.344643,Gsta4,71.95375,Prps1,85.388084,Tmsb10,23.234394,Gata4,17.278187
Hmgn1,101.28163,Malat1,75.07192,Pcolce,70.49724,Mxra8,105.44577,Lox,76.30091,Rpl8,87.56219,Tbrg1,85.647064,Ckb,62.72853,Gsto1,71.855705,Rpl36a,85.085434,Rhoc,23.207193,Egln3,17.130306
Epcam,98.954544,Laptm5,73.9902,Laptm4a,70.22548,Snhg18,105.39201,Tpm2,76.00382,Rpl36a,85.17861,Plet1,85.565926,Eif3f,62.06577,Rpl6,71.10872,Npm1,84.664894,Sh3bgrl3,23.06665,Serpinh1,17.09145
Cldn3,95.21312,Rpl37,73.53581,Fth1,69.77586,Col5a1,104.86788,Acta2,75.02734,Rpl41,85.0881,Rhox9,84.37098,Bex2,61.59149,Gm8730,70.60999,Fabp3,84.63798,Anxa5,22.89996,Nid1,17.067266
Wbp5,94.76447,Rpl22l1,72.96556,Timp1,68.90394,Loxl1,104.48284,Anxa5,74.1115,Rps20,83.60804,Serpinb9b,84.36256,Rps6,61.537617,Ranbp1,70.20436,Slc2a3,81.84491,Myl12a,21.936434,Pth1r,17.0611
Bex1,93.2112,Avpi1,72.502014,Timp3,67.862755,Igfbp4,103.43544,Itgb1,73.20703,Rps16,83.40907,Igf2,84.26103,Cotl1,59.25459,Rpl18a,68.300804,Upp1,81.06112,Tpm4,21.591434,Kdelr3,17.05235
Cldn7,92.21407,Rps16,71.0775,Lrp1,65.894806,Rcn3,101.52735,Actn1,73.10066,Rpl23,82.39012,Sri,83.8161,Hsp90ab1,58.62859,2810417H13Rik,68.22148,Mrps24,80.61614,Rps26,21.350494,Fut8,16.827219
Lsr,87.47954,Gsta4,71.03278,Cald1,65.285545,Col6a2,100.45222,Phlda3,72.778,Rpl32,82.25823,Mbnl3,82.70775,Hmgb1,58.56338,Rpl3,68.024605,Hells,80.43559,Gabarap,21.145775,Glul,16.282682
Marcksl1,87.189896,Emp3,71.024086,Lgals1,65.02311,Cdh11,99.28455,Nupr1,72.75039,Rpl12,81.841,Aprt,82.4544,Ppdpf,58.345337,Dut,67.89422,Sox2,80.15034,Txndc17,21.011055,Clu,16.209885
Ngfrap1,86.57834,Gsto1,70.88497,Cd63,64.785164,Sod3,99.2256,Timp2,71.95758,Rps27a,81.38977,3830417A13Rik,82.398865,Mfap2,58.057026,Mif,67.679115,Cox5a,79.0349,Sepw1,20.831821,Kit,16.132256
Dsp,86.504745,Rpl3,70.10987,Serpine2,64.582794,Lrp1,98.94614,Sdc2,71.78068,Rps15,81.29748,Serpinb9e,81.134735,Pcbp4,57.376785,Cks1b,67.450195,Mtf2,77.7859,Nupr1,20.825724,Creb3l1,16.050081
Cd24a,84.086,Eef1b2,69.28578,Col1a1,64.54931,Lgals1,98.3149,Myl9,71.383064,Rpl14,80.77351,Tfap2c,80.87074,H2afy2,57.07553,Cenpa,67.39953,Rpl10,76.00052,Rps2,20.80694,P4ha2,15.917362
Wnt4,83.08736,Rpsa,68.89893,Emp3,64.53881,Fbn1,98.147766,Axl,71.13128,Rpl35a,77.49847,Plac1,80.860214,Mettl9,56.818485,Cacybp,67.36493,Lyar,74.95907,Anxa2,20.577427,Rpl15,15.914914
F11r,81.06207,Rps4x,68.47998,Vim,63.724445,Col12a1,96.71443,Ak1,70.94559,Rps11,77.20372,Las1l,80.0997,Eif1b,56.69224,Hspd1,66.8433,Hmgb2,74.86673,Selm,20.358618,Fndc3a,15.864914
Hspb1,79.84814,Rpl13a,64.926216,Malat1,63.61605,Ly6e,96.49049,Col1a1,70.193565,Rpl35,76.4855,Ralbp1,79.69446,Nr2f1,56.134502,Banf1,66.001465,Dek,74.83438,Cfl1,20.022041,Cmtm7,15.775393
Lamc2,79.70517,Rps21,63.71423,B2m,63.211674,Emilin1,96.05089,Prss23,69.967926,Rpl39,76.20569,Tagln2,78.87199,6330403K07Rik,55.900616,Hspe1,64.44303,Rpl39,73.93375,Cthrc1,19.855307,Fau,15.5368595
